81020.084891781: (989.32373046875, 558.5730590820312)
81020.175011814: (965.3721923828125, 557.8262329101562)
81020.267856589: (None, None)
81020.357089052: (931.447021484375, 594.7509155273438)
81020.443901466: (None, None)
81020.539876772: (None, None)
81020.629257467: (876.217529296875, 658.6107788085938)
81020.720814195: (None, None)
81020.811972009: (None, None)
81020.902479706: (1088.92431640625, 649.3937377929688)
81020.992187908: (1040.201904296875, 626.0155029296875)
81021.085846345: (None, None)
81021.172723136: (None, None)
81021.264386429: (None, None)
81021.359796151: (425.5042724609375, 621.2150268554688)
81021.446635597: (431.79815673828125, 635.8108520507812)
81021.54527304: (437.61358642578125, 641.6472778320312)
81021.633628506: (667.3778076171875, 644.9356689453125)
81021.721942253: (650.147705078125, 634.7681884765625)
81021.820407401: (None, None)
81021.910344305: (664.4605712890625, 615.163330078125)
81021.99836789: (602.4751586914062, 607.1268310546875)
81022.111622083: (500.9984130859375, 602.2740478515625)
81022.2218208: (None, None)
81022.31268017: (None, None)
81022.42048738: (None, None)
81022.48559936: (None, None)
81022.572489954: (None, None)
81022.691020086: (None, None)
81022.764901982: (None, None)
81022.842866615: (None, None)
81022.985126025: (None, None)
81023.038171097: (None, None)
81023.116908871: (483.90838623046875, 635.1328735351562)
81023.219485039: (None, None)
81023.320673939: (451.1932067871094, 598.68310546875)
81023.394822142: (None, None)
81023.499875339: (517.4605712890625, 639.3416748046875)
81023.580533047: (538.7265625, 651.6533203125)
81023.689274025: (None, None)
81023.768946974: (None, None)
81023.858682052: (None, None)
81023.963962076: (None, None)
81024.048257826: (None, None)
81024.137184501: (None, None)
81024.239811035: (None, None)
81024.33057056: (None, None)
81024.417064791: (None, None)
81024.511483244: (None, None)
81024.603654359: (None, None)
81024.695988864: (None, None)
81024.786793338: (None, None)
81024.879248261: (None, None)
81024.971041818: (None, None)
81025.059887294: (None, None)
81025.160289512: (None, None)
81025.245497624: (None, None)
81025.336868776: (None, None)
81025.429154321: (None, None)
81025.518629289: (None, None)
81025.607289502: (None, None)
81025.70371914: (None, None)
81025.793144472: (None, None)
81025.883100439: (None, None)
81025.977551236: (None, None)
81026.063315297: (None, None)
81026.162431239: (None, None)
81026.249346209: (None, None)
81026.33763157: (None, None)
81026.435202221: (None, None)
81026.524160616: (None, None)
81026.61364746: (None, None)
81026.720190999: (None, None)
81026.796920712: (None, None)
81026.887822219: (None, None)
81027.163659564: (None, None)
81027.165409391: (None, None)
81085.320959913: (None, None)
81085.320338338: (None, None)
81085.321369869: (None, None)
81085.571473065: (None, None)
81085.571282384: (None, None)
81085.572179381: (None, None)
81085.830214194: (None, None)
81085.836788441: (None, None)
81085.840365179: (None, None)
81085.978702226: (None, None)
81086.045616798: (None, None)
81086.098707447: (None, None)
81086.201857485: (None, None)
81086.280808601: (None, None)
81086.371541932: (None, None)
81086.466194977: (None, None)
81086.55575115: (None, None)
81086.640760668: (None, None)
81086.732935695: (None, None)
81086.827208472: (None, None)
81086.917167413: (None, None)
81087.010360325: (None, None)
81087.099756754: (None, None)
81087.190454616: (None, None)
81087.284754581: (None, None)
81087.37366673: (None, None)
81087.464595846: (None, None)
81087.557691361: (None, None)
81087.644247004: (None, None)
81087.73627458: (None, None)
81087.827899127: (None, None)
81087.914206692: (None, None)
81088.00512284: (None, None)
81088.100992316: (None, None)
81088.185522085: (None, None)
81088.2782178: (None, None)
81088.370974244: (None, None)
81088.462145605: (771.4318237304688, 570.8690795898438)
81088.558048103: (771.9112548828125, 564.2320556640625)
81088.648810185: (748.0291137695312, 565.9558715820312)
81088.737494777: (744.02880859375, 571.6869506835938)
81088.830737273: (745.819091796875, 580.8462524414062)
81088.918804666: (None, None)
81089.009410755: (734.5671997070312, 593.8607788085938)
81089.103435351: (None, None)
81089.194190505: (742.6470336914062, 595.1686401367188)
81089.282750928: (None, None)
81089.374691472: (629.3665161132812, 687.8011474609375)
81089.464763852: (668.8031616210938, 678.3807983398438)
81089.560807082: (None, None)
81089.647907215: (841.169189453125, 634.982421875)
81089.738667578: (None, None)
81089.832029192: (None, None)
81089.919591626: (803.2593994140625, 635.420166015625)
81090.011171641: (816.89453125, 609.5066528320312)
81090.105118058: (None, None)
81090.192505437: (None, None)
81090.281192686: (None, None)
81090.375099518: (1043.9241943359375, 507.0998229980469)
81090.464316205: (1048.3636474609375, 529.8886108398438)
81090.552688708: (1160.6849365234375, 500.15924072265625)
81090.648168176: (None, None)
81090.735958219: (None, None)
81090.831508314: (None, None)
81090.923794229: (None, None)
81091.010628003: (None, None)
81091.107137128: (None, None)
81091.196770281: (None, None)
